id;social_media;url;created_at;updated_at;deleted_at
1;FACEBOOK;https://vicious-tangerine.name/;2024-09-02T19:18:24;2024-09-02T16:27:57;2024-09-02T22:02:39
2;GITLAB;https://trivial-decoder.org;2024-09-03T00:49:23;2024-09-03T07:07:23;2024-09-02T19:14:19
3;GITHUB;https://milky-horde.name;2024-09-03T08:57:43;2024-09-03T00:52:05;2024-09-02T17:39:53
4;TWITTER;https://lone-hole.name/;2024-09-02T15:28:54;2024-09-02T13:05:08;2024-09-03T06:50:44
5;TWITTER;https://composed-lode.info/;2024-09-03T00:19:29;2024-09-02T14:36:05;2024-09-02T17:18:20
6;TWITTER;https://spectacular-scholar.com/;2024-09-02T17:39:03;2024-09-03T02:05:10;2024-09-02T23:23:39
7;INSTAGRAM;https://bumpy-ruin.org/;2024-09-02T11:34:29;2024-09-03T05:26:05;2024-09-02T20:47:53
8;INSTAGRAM;https://decimal-latte.info/;2024-09-03T07:43:51;2024-09-03T05:53:10;2024-09-02T14:06:56
9;GITLAB;https://spotless-outset.net;2024-09-02T10:45:30;2024-09-03T05:38:10;2024-09-02T22:41:26
10;INSTAGRAM;https://quizzical-servitude.name;2024-09-02T19:37:27;2024-09-02T22:33:19;2024-09-03T09:25:43
