id;type;visible;total_duration_in_mins;hashtags;created_at;updated_at;deleted_at
1;TECHNICAL;true;15287;elated unlucky;2024-09-03T09:22:32;2024-09-03T04:41:12;2024-09-03T05:59:20
2;NONTECHNICAL;true;24546;anenst;2024-09-02T23:04:39;2024-09-03T06:10:30;2024-09-02T23:43:07
3;NONTECHNICAL;true;2398;although;2024-09-03T02:58:51;2024-09-03T08:37:05;2024-09-02T12:45:26
4;TECHNICAL;false;438;whoa gladly royal;2024-09-03T02:19:29;2024-09-03T04:46:44;2024-09-02T13:25:17
5;TECHNICAL;false;12835;vice chorus;2024-09-03T06:48:05;2024-09-03T03:44:16;2024-09-02T12:06:09
6;NONTECHNICAL;true;32394;materialize debt denude;2024-09-03T08:51:57;2024-09-02T12:29:14;2024-09-03T03:03:15
7;TECHNICAL;false;20900;clearly;2024-09-03T01:31:39;2024-09-02T23:09:01;2024-09-02T19:58:40
8;TECHNICAL;true;19001;stealthily lest;2024-09-02T21:22:02;2024-09-03T05:36:53;2024-09-02T11:07:45
9;TECHNICAL;true;21070;squabble;2024-09-02T15:18:53;2024-09-02T19:35:57;2024-09-02T11:22:24
10;NONTECHNICAL;true;17947;angora blah;2024-09-02T11:00:43;2024-09-02T13:25:30;2024-09-02T15:57:16
