id;name;logo;created_at;updated_at;deleted_at;active
1;geez searchingly;ugh successfully;2024-09-07T10:24:23;2024-09-06T15:53:15;2024-09-07T09:07:38;true
2;screening;shrilly baggy;2024-09-07T01:09:59;2024-09-07T11:16:48;2024-09-07T04:53:19;true
3;duh;geez modulo;2024-09-06T12:48:21;2024-09-06T23:04:06;2024-09-06T21:26:15;true
4;foolishly;plump geez;2024-09-07T07:25:20;2024-09-07T02:37:36;2024-09-07T00:27:06;true
5;eventuate pro till;term;2024-09-06T18:43:00;2024-09-06T14:40:09;2024-09-07T10:44:13;true
6;finally yawningly fold;envisage ignorant instantly;2024-09-07T01:17:24;2024-09-06T19:15:18;2024-09-07T00:53:02;false
7;apud;who gulp excepting;2024-09-06T16:44:57;2024-09-07T08:03:47;2024-09-06T17:46:16;false
8;not unto;gaiters;2024-09-07T03:01:28;2024-09-06T22:26:02;2024-09-06T13:47:41;false
9;apud;around beautifully;2024-09-06T23:19:35;2024-09-07T10:38:57;2024-09-06T21:08:15;false
10;amongst writhing;huzzah via;2024-09-06T17:00:20;2024-09-06T22:37:36;2024-09-07T05:51:26;false
