id;name;faculty;level;degree;start_date;end_date;activities;clubs;created_at;updated_at;deleted_at
1;at miserably planning;uh-huh medication halt;MASTER;that;2024-09-02;2024-09-02T11:44:35;drat whoa plus;notwithstanding incentivize;2024-09-03T07:55:12;2024-09-02T17:20:07;2024-09-03T07:35:56
2;unfortunately overlook;radiant;BACHELOR;incidentally;2024-09-02;2024-09-03T06:42:16;demystify poem shimmering;gently yet if;2024-09-02T10:16:49;2024-09-02T13:47:22;2024-09-02T10:44:58
3;once now;victoriously scientific plus;HIGH_SCHOOL;supposing of unaccountably;2024-09-03;2024-09-02T12:32:33;courageously quirkily consequently;before complex unexpectedly;2024-09-03T07:26:26;2024-09-03T09:40:59;2024-09-03T05:39:58
4;baobab;meanwhile;PHD;forestry geez;2024-09-03;2024-09-03T05:15:10;caulk;minus;2024-09-02T15:41:05;2024-09-03T08:24:14;2024-09-02T19:10:37
5;although;unbearably dreamily via;MASTER;indeed;2024-09-03;2024-09-02T13:06:48;governance weakly;aside because;2024-09-02T18:13:49;2024-09-02T16:46:47;2024-09-03T09:35:54
6;finally;and;HIGH_SCHOOL;likely;2024-09-03;2024-09-02T18:33:55;helpfully unimpressively well-off;frenetically palatalise;2024-09-02T19:41:05;2024-09-02T10:57:08;2024-09-02T23:57:44
7;harsh likable;understated;PHD;yam enfold through;2024-09-03;2024-09-02T18:44:57;hundred sit;though afterwards;2024-09-02T11:05:05;2024-09-02T20:41:18;2024-09-03T02:10:02
8;hmph nor;luminous;MASTER;gadzooks ouch professionalise;2024-09-02;2024-09-02T12:24:44;quietly;writhe type juggernaut;2024-09-02T21:52:27;2024-09-02T13:21:21;2024-09-02T21:13:31
9;favorite confuse hourly;monument prize;PHD;during energetically;2024-09-02;2024-09-02T23:50:20;around theorise despite;promptly boo;2024-09-03T00:56:21;2024-09-02T17:46:53;2024-09-02T14:42:29
10;but with a;tamp bereave that;MASTER;overjoyed;2024-09-03;2024-09-02T23:16:57;ah as;enormously fluctuate yum;2024-09-02T18:14:35;2024-09-02T11:43:39;2024-09-02T19:27:53
