id;title;work_type;contract_type;start_date;end_date;description;created_at;updated_at;deleted_at
1;pocketbook wherever hmph;ON_SITE;CONTRACTOR;2024-09-03;2024-09-02;authorized upward;2024-09-02T14:19:51;2024-09-02T10:26:15;2024-09-02T14:29:58
2;morphology;REMOTE;INTERN;2024-09-03;2024-09-02;dishonest ew thong;2024-09-02T11:11:44;2024-09-02T12:23:48;2024-09-02T11:33:49
3;honestly;ON_SITE;FULL_TIME;2024-09-02;2024-09-03;boo;2024-09-02T18:27:42;2024-09-02T13:35:59;2024-09-02T20:32:03
4;depict unknown;HYBRID;CONTRACTOR;2024-09-03;2024-09-02;not;2024-09-02T18:44:55;2024-09-02T17:23:36;2024-09-03T07:20:20
5;plus mmm;REMOTE;INTERN;2024-09-02;2024-09-02;extremely regarding superficial;2024-09-03T06:41:46;2024-09-03T09:45:46;2024-09-02T16:54:25
6;incidentally when nasalise;HYBRID;INTERN;2024-09-02;2024-09-02;slake the;2024-09-02T12:18:53;2024-09-02T20:21:42;2024-09-02T19:15:48
7;academic softly instead;ON_SITE;FULL_TIME;2024-09-02;2024-09-03;um into from;2024-09-02T14:24:26;2024-09-02T23:25:43;2024-09-02T15:32:48
8;wherever since;REMOTE;VOLUNTEER;2024-09-03;2024-09-02;grandparent;2024-09-02T11:33:35;2024-09-02T22:56:55;2024-09-02T21:27:16
9;aw often um;HYBRID;CONTRACTOR;2024-09-02;2024-09-03;oof;2024-09-02T18:10:56;2024-09-02T14:54:24;2024-09-02T23:33:24
10;smoothly even interfere;REMOTE;FULL_TIME;2024-09-02;2024-09-02;pitching;2024-09-03T00:25:38;2024-09-03T03:14:54;2024-09-02T13:26:32
