id;title;description;status;created_date;expire_date
1;vandalise;gah gesticulate;CLOSED;2024-08-24T13:38:17;2024-08-24T10:34:34
2;annually quietly ick;fix calcification;OPEN;2024-08-24T07:13:23;2024-08-23T17:11:25
3;yippee yowza;reassess depose mockingly;OPEN;2024-08-24T05:28:33;2024-08-24T02:14:32
4;zampone unfinished jittery;restoration dazzling google;FILLED;2024-08-24T12:26:05;2024-08-24T09:49:44
5;notwithstanding quixotic energetic;whip case if;FILLED;2024-08-24T03:04:06;2024-08-24T07:32:42
6;robust luncheonette;outrageous;OPEN;2024-08-24T02:11:37;2024-08-23T18:41:56
7;innocent yet trivial;tensely magnitude;CLOSED;2024-08-24T06:28:36;2024-08-24T08:28:34
8;at mid;flood giving;OPEN;2024-08-24T00:56:13;2024-08-24T16:16:59
9;maroon besides photo;hmph competent alongside;OPEN;2024-08-23T19:51:05;2024-08-23T17:30:52
10;enthusiastically animal klap;gadzooks silky until;OPEN;2024-08-24T11:18:20;2024-08-23T20:04:38
