id;content;options;type;correct_answer;created_at;updated_at;deleted_at
1;however;blacken;VIDEO;shackle so;2024-09-02T15:10:47;2024-09-03T00:24:02;2024-09-03T08:39:42
2;next openly;sometimes;TEXT;polished;2024-09-02T20:54:27;2024-09-02T23:57:17;2024-09-03T05:03:30
3;placode;till table;TEXT;sentencing;2024-09-02T12:03:26;2024-09-02T15:55:51;2024-09-02T12:06:49
4;amongst kindly;woot provided next;TEXT;guilty before tragic;2024-09-02T22:52:26;2024-09-02T19:14:12;2024-09-03T05:58:28
5;after processor circa;yowza seldom;VIDEO;unless afore inasmuch;2024-09-03T01:43:55;2024-09-02T20:26:23;2024-09-03T07:50:20
6;despite tide if;ouch phew separately;VIDEO;crazy;2024-09-02T18:59:50;2024-09-02T18:21:55;2024-09-02T17:58:55
7;cultured;who abandoned;TEXT;recall;2024-09-02T17:04:42;2024-09-02T10:11:13;2024-09-02T21:56:13
8;unfortunately drat however;velvet;TEXT;round humming;2024-09-02T23:38:42;2024-09-03T03:04:58;2024-09-03T09:23:39
9;powerful;switch;MULTIPLE_CHOICE;why peony swelter;2024-09-02T13:52:24;2024-09-03T09:00:06;2024-09-02T16:42:13
10;edible;yahoo;VIDEO;decimal yowza sphere;2024-09-02T13:34:24;2024-09-03T01:25:28;2024-09-03T08:22:08
