id;name;created_at;updated_at;deleted_at
1;binge mortally;2024-09-02T18:57:11;2024-09-02T15:19:15;2024-09-03T04:00:24
2;until yuck;2024-09-03T06:45:57;2024-09-02T15:02:02;2024-09-02T10:34:29
3;nothing;2024-09-02T10:48:26;2024-09-03T00:30:14;2024-09-02T17:43:23
4;barring provided;2024-09-02T23:42:43;2024-09-02T18:27:11;2024-09-03T03:26:36
5;over bruit gee;2024-09-02T20:14:36;2024-09-02T15:09:05;2024-09-03T07:47:24
6;coin crayfish;2024-09-02T13:56:34;2024-09-02T21:58:22;2024-09-03T09:41:38
7;or plus;2024-09-02T18:23:38;2024-09-02T20:54:57;2024-09-02T10:18:17
8;nearly;2024-09-03T00:42:32;2024-09-02T21:43:35;2024-09-03T02:52:25
9;abacus off;2024-09-03T02:30:09;2024-09-03T09:29:38;2024-09-02T13:10:43
10;implementation;2024-09-02T21:22:10;2024-09-03T09:27:50;2024-09-03T07:14:54
