id;order_of_questions;total_duration_in_mins;access_url;access_expiry_date;user_assignment_status;assigned_at;joined_at;finished_at
1;choice noisily;14165;so apropos;2024-09-02T18:55:05;COMPLETED;2024-09-03T04:55:43;2024-09-02T14:42:26;2024-09-02T23:51:33
2;provided;3916;ball storey;2024-09-02T15:30:01;OVERDUE;2024-09-03T07:25:04;2024-09-03T05:35:11;2024-09-02T16:38:47
3;pish but yowza;24206;riser wherever;2024-09-03T04:05:48;COMPLETED;2024-09-03T03:46:13;2024-09-02T16:01:13;2024-09-02T23:44:51
4;parable writhe;23589;monastery;2024-09-03T08:10:29;NOT_STARTED;2024-09-03T06:23:10;2024-09-03T08:07:26;2024-09-03T07:16:10
5;signpost;31913;height bachelor wearily;2024-09-03T01:29:29;COMPLETED;2024-09-03T07:06:07;2024-09-02T12:11:51;2024-09-03T02:08:35
6;for of;3869;helplessly;2024-09-03T08:48:34;IN_PROGRESS;2024-09-03T09:43:40;2024-09-03T03:07:29;2024-09-03T00:51:44
7;once ew regularly;6677;up sheepishly;2024-09-02T22:33:02;OVERDUE;2024-09-03T07:55:56;2024-09-03T07:06:33;2024-09-02T15:31:47
8;ha obnoxiously since;17894;stupendous milestone;2024-09-02T16:38:20;IN_PROGRESS;2024-09-02T15:54:28;2024-09-03T04:59:10;2024-09-02T18:14:44
9;till flatten aboard;14268;yearly;2024-09-03T01:57:33;NOT_STARTED;2024-09-03T08:48:04;2024-09-02T18:35:40;2024-09-02T09:59:46
10;hence aha;10698;bravely;2024-09-02T19:15:23;OVERDUE;2024-09-02T23:48:21;2024-09-03T01:13:58;2024-09-03T03:37:38
