id;level;created_at;updated_at;deleted_at
1;NATIVE;2024-09-03T07:14:07;2024-09-02T16:32:10;2024-09-03T08:07:45
2;ADVANCED;2024-09-02T21:39:51;2024-09-02T19:50:29;2024-09-03T08:09:09
3;INTERMEDIATE;2024-09-03T02:57:15;2024-09-02T14:11:31;2024-09-02T18:21:05
4;ADVANCED;2024-09-02T19:45:11;2024-09-02T13:48:21;2024-09-03T00:30:32
5;NATIVE;2024-09-03T01:25:29;2024-09-02T17:01:27;2024-09-03T04:25:08
6;NATIVE;2024-09-03T00:49:11;2024-09-02T12:47:55;2024-09-02T13:10:42
7;BEGINNER;2024-09-02T15:55:20;2024-09-03T03:01:13;2024-09-02T13:33:50
8;NATIVE;2024-09-02T23:56:38;2024-09-02T14:10:15;2024-09-03T04:45:06
9;BEGINNER;2024-09-02T15:07:39;2024-09-03T07:37:31;2024-09-02T12:51:51
10;BEGINNER;2024-09-03T01:30:19;2024-09-02T21:27:21;2024-09-03T02:12:28
