id;created_at;updated_at;deleted_at
1;2024-09-03T08:41:11;2024-09-03T01:17:29;2024-09-03T02:13:37
2;2024-09-02T16:36:05;2024-09-02T13:56:27;2024-09-03T03:07:38
3;2024-09-03T02:31:11;2024-09-02T22:33:08;2024-09-02T16:46:32
4;2024-09-02T11:23:51;2024-09-03T04:39:33;2024-09-02T14:12:06
5;2024-09-02T21:25:44;2024-09-02T13:15:25;2024-09-03T01:45:37
6;2024-09-02T16:28:31;2024-09-02T17:23:20;2024-09-03T09:24:32
7;2024-09-03T02:39:03;2024-09-03T01:44:06;2024-09-02T14:34:06
8;2024-09-02T17:38:12;2024-09-02T21:09:44;2024-09-03T08:46:08
9;2024-09-02T19:39:06;2024-09-02T23:01:45;2024-09-02T14:25:38
10;2024-09-03T06:22:21;2024-09-02T13:47:15;2024-09-02T22:06:06
