id;year;level;created_at;updated_at;deleted_at
1;13412;EXPERT;2024-09-03T05:51:10;2024-09-03T07:35:02;2024-09-03T03:31:50
2;25121;BEGINNER;2024-09-02T10:14:59;2024-09-02T12:40:08;2024-09-02T23:50:25
3;13915;BEGINNER;2024-09-02T15:41:30;2024-09-02T22:05:38;2024-09-03T02:25:19
4;18820;BEGINNER;2024-09-03T08:11:22;2024-09-02T11:12:26;2024-09-02T20:16:29
5;1904;EXPERT;2024-09-03T02:51:13;2024-09-02T22:45:30;2024-09-02T22:38:51
6;10825;BEGINNER;2024-09-03T01:35:08;2024-09-02T16:53:27;2024-09-03T00:10:03
7;12633;EXPERT;2024-09-02T18:57:55;2024-09-02T21:38:57;2024-09-02T23:10:40
8;27806;EXPERT;2024-09-02T22:55:58;2024-09-03T04:21:42;2024-09-03T09:25:55
9;15712;BEGINNER;2024-09-03T01:15:55;2024-09-02T16:55:14;2024-09-02T12:36:37
10;14084;BEGINNER;2024-09-03T01:11:46;2024-09-02T11:30:04;2024-09-03T07:32:11
